	input	translation
263132	Q6YBV0	R-HSA-352230
263133	Q6YBV0	R-HSA-71240
263152	Q6YHK3	R-HSA-114608
263153	Q6YHK3	R-HSA-163125
263154	Q6YHU6	R-HSA-6782315
263182	Q6YP21	R-HSA-71240
263244	Q6ZMB0	R-HSA-913709
263245	Q6ZMC9	R-HSA-2172127
263246	Q6ZMG9	R-HSA-1660661
263247	Q6ZMH5	R-HSA-442380
263248	Q6ZMJ2	R-HSA-3000480
263249	Q6ZMJ4	R-HSA-449836
263250	Q6ZMM2	R-HSA-5083635
263251	Q6ZMM2	R-HSA-5173214
263252	Q6ZMP0	R-HSA-5083635
263253	Q6ZMP0	R-HSA-5173214
263254	Q6ZMR3	R-HSA-70268
263255	Q6ZMT4	R-HSA-3214842
263256	Q6ZMT4	R-HSA-6802952
263257	Q6ZMU5	R-HSA-445355
263258	Q6ZMU5	R-HSA-445355
263259	Q6ZMV8	R-HSA-212436
263260	Q6ZMV9	R-HSA-6811434
263261	Q6ZMV9	R-HSA-983189
263262	Q6ZMW2	R-HSA-212436
263263	Q6ZMY9	R-HSA-212436
263264	Q6ZMZ0	R-HSA-983168
263265	Q6ZN11	R-HSA-212436
263266	Q6ZN18	R-HSA-212300
263267	Q6ZN18	R-HSA-3214841
263268	Q6ZN44	R-HSA-373752
263269	Q6ZN44	R-HSA-418886
263270	Q6ZN44	R-HSA-418889
263271	Q6ZN57	R-HSA-212436
263272	Q6ZN66	R-HSA-877300
263273	Q6ZN79	R-HSA-212436
263274	Q6ZNA4	R-HSA-2173795
263275	Q6ZNA4	R-HSA-2173796
263276	Q6ZNA4	R-HSA-2173796
263277	Q6ZNA4	R-HSA-5696395
263278	Q6ZNA4	R-HSA-983168
263279	Q6ZNB7	R-HSA-75109
263280	Q6ZNC4	R-HSA-212436
263281	Q6ZNC8	R-HSA-1482801
263282	Q6ZNC8	R-HSA-1482839
263283	Q6ZNE5	R-HSA-1632852
263284	Q6ZNE5	R-HSA-9705671
263285	Q6ZNE5	R-HSA-983170
263286	Q6ZNG0	R-HSA-212436
263287	Q6ZNG1	R-HSA-212436
263288	Q6ZNI0	R-HSA-913709
263289	Q6ZNJ1	R-HSA-6798695
263290	Q6ZNL6	R-HSA-9013149
263291	Q6ZP29	R-HSA-5223345
263292	Q6ZPD8	R-HSA-1482883
263385	Q6ZQN7	R-HSA-6798695
263386	Q6ZQN7	R-HSA-879518
263387	Q6ZQW0	R-HSA-71240
263388	Q6ZQY3	R-HSA-1614558
263389	Q6ZQY3	R-HSA-8963693
263390	Q6ZR52	R-HSA-212436
263391	Q6ZRH7	R-HSA-1300642
263392	Q6ZRI0	R-HSA-9662361
263393	Q6ZS11	R-HSA-8876198
263394	Q6ZS27	R-HSA-212436
263395	Q6ZS82	R-HSA-2514859
263396	Q6ZS82	R-HSA-2514859
263397	Q6ZSI9	R-HSA-1474228
263398	Q6ZSS3	R-HSA-212436
263399	Q6ZSZ5	R-HSA-193648
263400	Q6ZSZ5	R-HSA-2173791
263401	Q6ZSZ5	R-HSA-2173791
263402	Q6ZSZ5	R-HSA-416482
263403	Q6ZSZ5	R-HSA-8980692
263404	Q6ZSZ5	R-HSA-9013149
263405	Q6ZT98	R-HSA-8955332
263406	Q6ZTW0	R-HSA-8955332
263407	Q6ZUJ8	R-HSA-1257604
263408	Q6ZUJ8	R-HSA-2219530
263409	Q6ZUJ8	R-HSA-6811558
263410	Q6ZUJ8	R-HSA-983695
263411	Q6ZUJ8	R-HSA-983695
263412	Q6ZUM4	R-HSA-9013148
263413	Q6ZUM4	R-HSA-9013149
263414	Q6ZUT9	R-HSA-8876198
263415	Q6ZUV0	R-HSA-77289
263416	Q6ZUX7	R-HSA-114608
263417	Q6ZV29	R-HSA-6814848
263418	Q6ZVD8	R-HSA-199418
263419	Q6ZVH7	R-HSA-9662360
263420	Q6ZVH7	R-HSA-9662361
263421	Q6ZVK8-1	R-HSA-2393930
263422	Q6ZVN8	R-HSA-373752
263423	Q6ZVT0	R-HSA-8955332
263424	Q6ZVZ8	R-HSA-8951664
263425	Q6ZVZ8	R-HSA-983168
263426	Q6ZW31	R-HSA-9013148
263427	Q6ZW31	R-HSA-9013404
263428	Q6ZW31	R-HSA-9013406
263429	Q6ZW31	R-HSA-9013409
263430	Q6ZW31	R-HSA-9013423
263431	Q6ZW31	R-HSA-9035034
263432	Q6ZW49	R-HSA-5617472
263433	Q6ZW49	R-HSA-5693571
263434	Q6ZW61	R-HSA-5620922
263435	Q6ZWL3	R-HSA-211976
263436	Q6ZWL3	R-HSA-2453902
263452	Q6ZWT7	R-HSA-1482788
263453	Q6ZWT7	R-HSA-1482839
263524	Q6ZYL4	R-HSA-112382
263525	Q6ZYL4	R-HSA-113418
263526	Q6ZYL4	R-HSA-167152
263527	Q6ZYL4	R-HSA-167158
263528	Q6ZYL4	R-HSA-167160
263529	Q6ZYL4	R-HSA-167161
263530	Q6ZYL4	R-HSA-167162
263531	Q6ZYL4	R-HSA-167172
263532	Q6ZYL4	R-HSA-167200
263533	Q6ZYL4	R-HSA-167246
263534	Q6ZYL4	R-HSA-427413
263535	Q6ZYL4	R-HSA-5696395
263536	Q6ZYL4	R-HSA-5696400
263537	Q6ZYL4	R-HSA-674695
263538	Q6ZYL4	R-HSA-6781823
263539	Q6ZYL4	R-HSA-6781827
263540	Q6ZYL4	R-HSA-6782135
263541	Q6ZYL4	R-HSA-6782210
263542	Q6ZYL4	R-HSA-6796648
263543	Q6ZYL4	R-HSA-72086
263544	Q6ZYL4	R-HSA-73762
263545	Q6ZYL4	R-HSA-73772
263546	Q6ZYL4	R-HSA-73776
263547	Q6ZYL4	R-HSA-73779
263548	Q6ZYL4	R-HSA-73863
263549	Q6ZYL4	R-HSA-75953
263550	Q6ZYL4	R-HSA-75955
263551	Q6ZYL4	R-HSA-76042
263552	Q6ZYL4	R-HSA-77075
263556	Q701N2	R-HSA-6805567
263557	Q701N4	R-HSA-6805567
263567	Q70626	R-HSA-5621480
263573	Q709F0	R-HSA-77289
263575	Q70CQ1	R-HSA-5689880
263576	Q70CQ2	R-HSA-201681
263577	Q70CQ2	R-HSA-5689880
263578	Q70CQ3	R-HSA-5689880
263579	Q70CQ3	R-HSA-9664873
263584	Q70EL2	R-HSA-5696395
263585	Q70EL4	R-HSA-5656169
263615	Q70HW3	R-HSA-425393
263622	Q70J99	R-HSA-6798695
263623	Q70JA7	R-HSA-2022870
263626	Q70SY1	R-HSA-8874211
263627	Q70UQ0	R-HSA-9758274
263631	Q70Z35	R-HSA-8948751
263632	Q70Z35	R-HSA-8980692
263633	Q70Z35	R-HSA-9013148
263634	Q70Z35	R-HSA-9013149
263635	Q70Z44	R-HSA-112314
263641	Q712K3	R-HSA-8866652
263642	Q712K3	R-HSA-983168
263645	Q717R9	R-HSA-5624138
263646	Q719H9	R-HSA-8866904
263648	Q71DI3	R-HSA-1266695
263649	Q71DI3	R-HSA-1266695
263650	Q71DI3	R-HSA-1912408
263651	Q71DI3	R-HSA-201722
263652	Q71DI3	R-HSA-212300
263653	Q71DI3	R-HSA-2299718
263654	Q71DI3	R-HSA-2559580
263655	Q71DI3	R-HSA-2559582
263656	Q71DI3	R-HSA-3214815
263657	Q71DI3	R-HSA-3214841
263658	Q71DI3	R-HSA-3214842
263659	Q71DI3	R-HSA-3214847
263660	Q71DI3	R-HSA-3214847
263661	Q71DI3	R-HSA-3214858
263662	Q71DI3	R-HSA-3247509
