parent	child
R-HSA-1280215	R-HSA-1170546
R-HSA-1280215	R-HSA-449147
R-HSA-1280215	R-HSA-5668541
R-HSA-1280215	R-HSA-913531
R-HSA-1280215	R-HSA-9607240
R-HSA-1280215	R-HSA-9674555
R-HSA-1280215	R-HSA-982772
R-HSA-1280218	R-HSA-198933
R-HSA-1280218	R-HSA-202403
R-HSA-1280218	R-HSA-2132295
R-HSA-1280218	R-HSA-388841
R-HSA-1280218	R-HSA-392517
R-HSA-1280218	R-HSA-8851680
R-HSA-1280218	R-HSA-983169
R-HSA-1280218	R-HSA-983705
R-HSA-1296059	R-HSA-1296041
R-HSA-1296065	R-HSA-1296025
R-HSA-1296065	R-HSA-1296053
R-HSA-1296065	R-HSA-1296059
R-HSA-1296065	R-HSA-1296067
R-HSA-1296071	R-HSA-1296052
R-HSA-1296071	R-HSA-1296061
R-HSA-1296071	R-HSA-1296065
R-HSA-1296071	R-HSA-1296072
R-HSA-1296071	R-HSA-1296346
R-HSA-1296346	R-HSA-1299287
R-HSA-1296346	R-HSA-1299308
R-HSA-1296346	R-HSA-1299316
R-HSA-1296346	R-HSA-1299344
R-HSA-1296346	R-HSA-1299361
R-HSA-1296346	R-HSA-1299503
R-HSA-1362409	R-HSA-2395516
R-HSA-140179	R-HSA-141333
R-HSA-140179	R-HSA-141334
R-HSA-140534	R-HSA-3371378
R-HSA-140534	R-HSA-69416
R-HSA-140877	R-HSA-140834
R-HSA-140877	R-HSA-140837
R-HSA-140877	R-HSA-140875
R-HSA-141405	R-HSA-141430
R-HSA-141424	R-HSA-141444
R-HSA-1428517	R-HSA-163200
R-HSA-1428517	R-HSA-71406
R-HSA-1430728	R-HSA-1362409
R-HSA-1430728	R-HSA-1428517
R-HSA-1430728	R-HSA-1475029
R-HSA-1430728	R-HSA-1483249
R-HSA-1430728	R-HSA-15869
R-HSA-1430728	R-HSA-163685
R-HSA-1430728	R-HSA-189445
R-HSA-1430728	R-HSA-196854
R-HSA-1430728	R-HSA-202131
R-HSA-1430728	R-HSA-211859
R-HSA-1430728	R-HSA-2564830
R-HSA-1430728	R-HSA-556833
R-HSA-1430728	R-HSA-71291
R-HSA-1430728	R-HSA-71387
R-HSA-1430728	R-HSA-71737
R-HSA-1433557	R-HSA-1433559
R-HSA-1461973	R-HSA-1461957
R-HSA-1461973	R-HSA-1462054
R-HSA-1474165	R-HSA-1187000
R-HSA-1474165	R-HSA-1500620
R-HSA-1474228	R-HSA-1442490
R-HSA-1474228	R-HSA-1592389
R-HSA-1474244	R-HSA-1474228
R-HSA-1474244	R-HSA-1474290
R-HSA-1474244	R-HSA-1566948
R-HSA-1474244	R-HSA-1566977
R-HSA-1474244	R-HSA-216083
R-HSA-1474244	R-HSA-3000157
R-HSA-1474244	R-HSA-3000171
R-HSA-1474244	R-HSA-3000178
R-HSA-1474244	R-HSA-8941237
R-HSA-1474290	R-HSA-1650814
R-HSA-1474290	R-HSA-2022090
R-HSA-1480926	R-HSA-1237044
R-HSA-1480926	R-HSA-1247673
R-HSA-1483206	R-HSA-1482788
R-HSA-1483206	R-HSA-1482798
R-HSA-1483206	R-HSA-1482801
R-HSA-1483206	R-HSA-1482839
R-HSA-1483206	R-HSA-1482883
R-HSA-1483206	R-HSA-1482922
R-HSA-1483206	R-HSA-1482925
R-HSA-1483206	R-HSA-1483076
R-HSA-1483206	R-HSA-1483101
R-HSA-1483206	R-HSA-1483115
R-HSA-1483206	R-HSA-1483148
R-HSA-1483206	R-HSA-1483152
R-HSA-1483206	R-HSA-1483166
R-HSA-1483206	R-HSA-1483171
R-HSA-1483206	R-HSA-1483191
R-HSA-1483206	R-HSA-1483196
R-HSA-1483206	R-HSA-1483213
R-HSA-1483206	R-HSA-1483226
R-HSA-1483249	R-HSA-1855156
R-HSA-1483249	R-HSA-1855167
R-HSA-1483249	R-HSA-1855170
R-HSA-1483249	R-HSA-1855183
R-HSA-1483249	R-HSA-1855184
R-HSA-1483249	R-HSA-1855191
R-HSA-1483249	R-HSA-1855192
R-HSA-1483249	R-HSA-1855196
R-HSA-1483249	R-HSA-1855204
R-HSA-1483249	R-HSA-1855215
R-HSA-1483249	R-HSA-1855229
R-HSA-1483249	R-HSA-1855231
R-HSA-1483255	R-HSA-1483196
R-HSA-1483255	R-HSA-1483248
R-HSA-1483255	R-HSA-1660499
R-HSA-1483255	R-HSA-1660502
R-HSA-1483255	R-HSA-1660508
R-HSA-1483255	R-HSA-1660510
R-HSA-1483255	R-HSA-1660514
R-HSA-1483255	R-HSA-1660516
R-HSA-1483255	R-HSA-1660517
R-HSA-1483255	R-HSA-1660524
R-HSA-1483255	R-HSA-1660537
R-HSA-1483255	R-HSA-6814848
R-HSA-1483255	R-HSA-8847453
R-HSA-1483257	R-HSA-1483206
R-HSA-1483257	R-HSA-1483255
R-HSA-1489509	R-HSA-111997
R-HSA-1500620	R-HSA-1221632
R-HSA-1500620	R-HSA-912446
R-HSA-1500931	R-HSA-373753
R-HSA-1500931	R-HSA-391160
R-HSA-1500931	R-HSA-446728
R-HSA-1502540	R-HSA-2473224
R-HSA-1538133	R-HSA-1362277
R-HSA-1538133	R-HSA-1362300
R-HSA-156580	R-HSA-156581
R-HSA-156580	R-HSA-156582
R-HSA-156580	R-HSA-156584
R-HSA-156580	R-HSA-156587
R-HSA-156580	R-HSA-156588
R-HSA-156580	R-HSA-156590
R-HSA-156584	R-HSA-174362
R-HSA-156587	R-HSA-159424
R-HSA-156588	R-HSA-173599
R-HSA-156590	R-HSA-174403
R-HSA-1566948	R-HSA-2129379
R-HSA-156842	R-HSA-156902
R-HSA-157118	R-HSA-1912422
R-HSA-157118	R-HSA-1980143
R-HSA-157118	R-HSA-1980145
R-HSA-157118	R-HSA-9012852
R-HSA-157118	R-HSA-9013694
R-HSA-157579	R-HSA-171306
R-HSA-157579	R-HSA-180786
R-HSA-157579	R-HSA-9670095
R-HSA-157858	R-HSA-190828
R-HSA-157858	R-HSA-191650
R-HSA-15869	R-HSA-499943
R-HSA-15869	R-HSA-8956319
R-HSA-15869	R-HSA-8956320
R-HSA-15869	R-HSA-8956321
R-HSA-1592230	R-HSA-2151201
R-HSA-1592230	R-HSA-2151209
R-HSA-1592230	R-HSA-8949613
R-HSA-159234	R-HSA-159227
R-HSA-159234	R-HSA-159230
R-HSA-159234	R-HSA-159231
R-HSA-159424	R-HSA-177128
R-HSA-159424	R-HSA-177135
R-HSA-159424	R-HSA-177162
R-HSA-159854	R-HSA-159740
R-HSA-159854	R-HSA-159763
R-HSA-159854	R-HSA-159782
R-HSA-1606322	R-HSA-1606341
R-HSA-1606322	R-HSA-1810476
R-HSA-1614558	R-HSA-1614517
R-HSA-1614635	R-HSA-1237112
R-HSA-1614635	R-HSA-1614558
R-HSA-1614635	R-HSA-1614603
R-HSA-162582	R-HSA-157118
R-HSA-162582	R-HSA-165159
R-HSA-162582	R-HSA-195721
R-HSA-162582	R-HSA-2028269
R-HSA-162582	R-HSA-2586552
R-HSA-162582	R-HSA-354192
R-HSA-162582	R-HSA-372790
R-HSA-162582	R-HSA-5358351
R-HSA-162582	R-HSA-5683057
R-HSA-162582	R-HSA-73887
R-HSA-162582	R-HSA-9006335
R-HSA-162582	R-HSA-9006925
R-HSA-162582	R-HSA-9006927
R-HSA-162582	R-HSA-9006931
R-HSA-162582	R-HSA-9006934
R-HSA-162582	R-HSA-9006936
R-HSA-162582	R-HSA-9716542
R-HSA-162587	R-HSA-162594
R-HSA-162587	R-HSA-162599
R-HSA-162589	R-HSA-164516
R-HSA-162589	R-HSA-164525
R-HSA-162592	R-HSA-164843
R-HSA-162592	R-HSA-175567
R-HSA-162592	R-HSA-177539
R-HSA-162594	R-HSA-162585
R-HSA-162594	R-HSA-162589
R-HSA-162594	R-HSA-162592
R-HSA-162594	R-HSA-173107
R-HSA-162599	R-HSA-162588
R-HSA-162599	R-HSA-165054
R-HSA-162599	R-HSA-167172
R-HSA-162599	R-HSA-175474
R-HSA-162906	R-HSA-162587
R-HSA-162906	R-HSA-162909
R-HSA-162909	R-HSA-164952
R-HSA-162909	R-HSA-176033
R-HSA-162909	R-HSA-176034
R-HSA-162909	R-HSA-177243
R-HSA-162909	R-HSA-180534
R-HSA-162909	R-HSA-180585
R-HSA-162909	R-HSA-180689
R-HSA-1630316	R-HSA-1638074
R-HSA-1630316	R-HSA-1638091
R-HSA-1630316	R-HSA-174362
R-HSA-1630316	R-HSA-1793185
R-HSA-1630316	R-HSA-2142845
R-HSA-163125	R-HSA-162699
R-HSA-163125	R-HSA-162710
R-HSA-163125	R-HSA-162791
R-HSA-163200	R-HSA-163210
R-HSA-163200	R-HSA-166187
R-HSA-163200	R-HSA-611105
R-HSA-1632852	R-HSA-9663891
R-HSA-163359	R-HSA-164378
R-HSA-163685	R-HSA-163358
R-HSA-163685	R-HSA-163359
R-HSA-163685	R-HSA-163680
R-HSA-163685	R-HSA-163754
R-HSA-163685	R-HSA-163765
R-HSA-163685	R-HSA-163767
R-HSA-163685	R-HSA-422356
R-HSA-1638074	R-HSA-2022854
R-HSA-1638074	R-HSA-2022857
R-HSA-1638091	R-HSA-1971475
R-HSA-1638091	R-HSA-2022928
R-HSA-1638091	R-HSA-2024096
R-HSA-163841	R-HSA-159854
R-HSA-163841	R-HSA-1663150
R-HSA-163841	R-HSA-204626
R-HSA-163841	R-HSA-5358493
R-HSA-1640170	R-HSA-1500620
R-HSA-1640170	R-HSA-69278
R-HSA-1640170	R-HSA-69620
R-HSA-1640170	R-HSA-73886
R-HSA-1643685	R-HSA-5260271
R-HSA-1643685	R-HSA-5619115
R-HSA-1643685	R-HSA-5663202
R-HSA-1643685	R-HSA-5663205
R-HSA-1643685	R-HSA-5668914
